file,line,type,commit,author,date,time,timezone,datetime,depth,length
src/App.tsx,21,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,41
src/App.tsx,22,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,6
src/App.tsx,23,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,56
src/App.tsx,24,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,1
src/App.tsx,25,tsx,80d61bce,Issac Roy,2025-04-18,14:58:33,-07:00,2025-04-18T14:58:33-07:00,0,6
src/App.tsx,26,tsx,062f4827,Issac Roy,2025-04-19,00:00:38,-07:00,2025-04-19T00:00:38-07:00,0,0
src/App.tsx,27,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,7
src/App.tsx,28,tsx,5d9ecc3,Issac Roy,2024-09-24,14:08:09,-07:00,2024-09-24T14:08:09-07:00,0,7
src/App.tsx,29,tsx,0c46991b,Issac Roy,2024-09-26,10:42:24,-07:00,2024-09-26T10:42:24-07:00,0,40
src/App.tsx,30,tsx,7a773877,Issac Roy,2024-09-26,15:16:11,-07:00,2024-09-26T15:16:11-07:00,0,51
src/App.tsx,31,tsx,0c46991b,Issac Roy,2024-09-26,10:42:24,-07:00,2024-09-26T10:42:24-07:00,0,52
src/App.tsx,32,tsx,0c46991b,Issac Roy,2024-09-26,10:42:24,-07:00,2024-09-26T10:42:24-07:00,0,44
src/App.tsx,33,tsx,33cb719c,Issac Roy,2024-09-28,20:33:21,-07:00,2024-09-28T20:33:21-07:00,0,55
src/App.tsx,34,tsx,44799095,Issac Roy,2024-09-28,21:52:46,-07:00,2024-09-28T21:52:46-07:00,0,48
src/App.tsx,35,tsx,e47e8b13,Issac Roy,2025-05-07,14:43:48,-07:00,2025-05-07T14:43:48-07:00,0,44
src/App.tsx,36,tsx,8e121d5b,Issac Roy,2024-09-29,00:01:47,-07:00,2024-09-29T00:01:47-07:00,0,48
src/App.tsx,37,tsx,8e121d5b,Issac Roy,2024-09-29,00:01:47,-07:00,2024-09-29T00:01:47-07:00,0,64
